Name,Position,MoP,Pass - Pass to Final Third,ClearInter 1A-2E,Tackle 1A-2E,Cross 5A-6E,Forward Pass Ratio
Achmad Figo Ramadani,Fullback,780,0.0,3.23,1.04,1.96,0
Ady Setiawan,Fullback,2892,0.0,2.61,0.53,2.96,0
Alfath Faathier,Fullback,849,0.0,0.53,0.21,1.91,0
Alfin Ismail Tuasalamony,Fullback,1191,0.08,1.44,0.45,0.53,0
Amiruddin Bagas Kaffa Arrizqi,Fullback,2563,0.0,2.98,1.33,1.58,0
Andik Rendika Rama,Fullback,353,0.0,2.55,1.02,2.55,0
Ardi Idrus,Fullback,1133,0.0,2.14,1.35,2.22,0
Arief Catur Pamungkas,Fullback,1389,0.06,3.5,1.36,1.17,0
Arif Setiawan,Fullback,2016,0.0,3.21,0.89,1.65,0
Bayu Mohammad Fiqri,Fullback,1382,0.0,3.78,1.56,0.78,0
Bhudiar Muhammad Riza,Fullback,905,0.0,2.69,1.69,1.39,0
Dias Angga Putra,Fullback,2195,0.0,2.26,0.9,2.42,0
Dodi Alexvan Djin,Fullback,1703,0.0,2.64,1.27,2.43,0
Eky Taufik Febrianto,Fullback,1148,0.0,2.51,0.63,1.18,0
Firza Andika,Fullback,2532,0.04,2.06,1.17,2.67,0
Frank Rikhart Sokoy,Fullback,1497,0.0,3.19,1.62,0.96,0
Fredyan Wahyu Sugiyantoro,Fullback,2378,0.04,2.54,0.76,2.5,0
Frendi Saputra,Fullback,1840,0.0,3.28,1.27,2.1,0
Frengky Deaner Missa,Fullback,518,0.0,1.91,0.87,1.91,0
Gavin Kwan Adsit,Fullback,2109,0.0,2.09,0.38,2.01,0
Henhen Herdiana,Fullback,1446,0.0,2.49,0.81,1.8,0
Ibrahim Sanjaya,Fullback,1049,0.0,2.32,0.77,1.54,0
Ilham Rio Fahmi,Fullback,2042,0.04,2.86,1.06,2.29,0
Jajang Sukmara,Fullback,809,0.0,1.67,1.22,1.78,0
Koko Ari Araya,Fullback,2069,0.0,2.65,1.0,1.26,0
Leo Guntara,Fullback,1533,0.0,2.29,0.59,2.11,0
Marckho Sandi Merauje,Fullback,1661,0.05,4.71,1.52,0.98,0
Miftah Anwar Sani,Fullback,1004,0.0,3.41,0.81,1.97,0
Mohammad Edo Febriansyah,Fullback,2165,0.0,2.12,1.16,2.08,0
Muhammad Abduh Lestaluhu,Fullback,2325,0.04,1.94,0.54,2.28,0
Muhammad Alwi Slamat,Fullback,2330,0.0,0.77,0.31,1.12,0
Muhammad Bagus Nirwanto,Fullback,2057,0.0,3.41,0.7,1.58,0
Muhammad Rezaldi Hehanusa,Fullback,605,0.0,2.83,0.74,4.61,0
Muhammad Rifky Suryawan,Fullback,1034,0.0,0.87,0.35,1.48,0
Muhammad Toha,Fullback,2970,0.0,2.82,1.09,1.79,0
Nazar Nurzaidin,Fullback,1750,0.0,1.49,0.77,0.41,0
Novri Setiawan,Fullback,2076,0.0,2.38,0.56,2.77,0
Reva Adi Utama,Fullback,2255,0.0,2.95,0.72,2.31,0
Ricky Fajrin Saputra,Fullback,2616,0.0,4.16,1.0,2.86,0
Rizky Dwi Febrianto,Fullback,2087,0.0,2.76,0.86,1.68,0
Ruben Karel Sanadi,Fullback,2071,0.0,3.0,1.35,3.39,0
Saddam Hi Tenang,Fullback,1162,0.0,3.8,1.78,1.63,0
Sani Rizki Fauzi,Fullback,1946,0.0,0.46,0.6,0.97,0
Syaiful Ramadhan,Fullback,381,0.0,3.07,1.89,1.18,0
Yakob Sayuri,Fullback,1937,0.0,1.77,1.25,1.39,0
Yance Sayuri,Fullback,2315,0.04,3.27,1.87,1.9,0
Yusuf Meilana Fuad Burhani,Fullback,2281,0.04,2.92,2.09,0.79,0
