Name,Position,MoP,Goal,Recovery,Key Pass,Shots Total,Dribble Total,Tackle 3A-6E,Intercept 1A-3E,Cross 4A-6E,Defence,Attack
Abrizal Umanailo,Winger,998,0.0,0.18,0.45,1.71,0.45,0.54,0.72,2.62,,crosser
Adam Alis Setyano,Winger,2291,0.2,0.9,0.86,1.65,0.67,0.94,0.98,1.69,,crosser
Alfriyanto Nico Saputro,Winger,768,0.12,0.47,1.41,1.52,0.82,0.47,0.47,1.76,,crosser
Altalariq Erfa Aqsal Ballah,Winger,2405,0.07,0.22,0.37,0.45,0.52,0.34,2.51,2.43,track back,crosser
Althaf Indie Alrizky,Winger,696,0.13,0.39,0.39,2.33,3.36,0.39,0.39,2.97,,crosser
Andik Vermansah,Winger,771,0.12,0.47,1.28,1.75,0.82,0.7,0.47,3.62,,crosser
Ciro Henrique Alves Ferreira E Silva,Winger,2404,0.34,0.07,0.97,2.47,1.72,0.41,0.11,1.27,,crosser
David Laly,Winger,1079,0.08,0.33,1.33,1.17,0.67,0.42,0.75,1.42,,crosser
Defri Rizki,Winger,483,0.0,0.0,0.93,1.49,1.12,0.56,0.19,2.8,,crosser
Dendi Santoso,Winger,2045,0.04,0.48,1.06,0.57,0.44,0.44,0.84,1.94,,crosser
Egy Maulana Vikri,Winger,710,0.13,0.13,1.27,2.41,0.13,0.38,0.51,0.76,,
Elisa Yahya Basna,Winger,1066,0.17,1.1,1.1,1.6,1.27,1.6,1.18,1.01,aggresive,crosser
Esteban Gabriel Vizcarra,Winger,1721,0.05,0.26,0.58,1.1,1.05,0.58,0.68,0.89,,
Ezra Harm Ruud Walian,Winger,773,0.12,0.35,0.35,1.63,0.23,0.82,0.23,1.75,,crosser
Febri Hariyadi,Winger,852,0.11,0.21,0.74,2.54,0.53,0.63,0.32,2.01,,crosser
Feby Eka Putra,Winger,441,0.0,0.61,0.41,2.04,1.43,0.82,0.61,0.41,,
Flavio António da Silva,Winger,1292,0.42,0.28,1.04,3.0,0.84,0.28,0.84,0.49,,
Frets Listanto Butuan,Winger,1412,0.13,0.32,0.83,1.15,0.45,0.45,1.91,2.61,track back,crosser
Hamzah Titofani Rivaldi,Winger,426,0.0,0.21,0.63,1.48,0.85,0.21,1.69,0.85,track back,
Hari Nur Yulianto,Winger,1009,0.45,0.09,0.45,2.59,0.18,0.45,0.18,0.8,,
Henry Matias Mier Codina,Winger,1320,0.55,0.2,1.5,4.5,0.48,0.34,0.48,0.89,,
Heri Susanto,Winger,668,0.0,0.13,0.13,2.29,0.94,0.54,0.4,3.1,,crosser
Ilham Udin Armaiyn,Winger,1248,0.22,0.36,0.5,1.8,1.23,0.5,0.79,1.44,,crosser
Irfan Haarys Bachdim,Winger,1029,0.17,0.35,1.05,0.96,0.96,0.17,0.52,3.06,,crosser
Irfan Jauhari,Winger,931,0.29,0.39,0.58,2.22,1.45,0.97,0.39,1.64,,crosser
Irfan Jaya,Winger,906,0.2,0.7,0.99,2.68,1.49,0.6,0.7,2.09,,crosser
Irkham Zahrul Mila,Winger,1481,0.24,0.3,0.43,1.34,1.09,0.3,0.3,1.09,,crosser
Irsyad Maulana,Winger,1025,0.35,0.18,1.14,2.37,0.26,0.26,0.44,2.11,,crosser
Jeam Kelly Sroyer,Winger,384,0.23,0.0,0.47,1.64,1.17,2.34,1.17,0.94,aggresive,
Jean Marie Privat Befolo Mbarga,Winger,2996,0.48,0.42,1.08,2.46,1.26,0.27,0.3,2.34,,crosser
Jujun Junaedi,Winger,318,0.28,0.28,0.28,2.83,1.13,0.28,0.85,1.42,,crosser
Komarudin,Winger,1154,0.08,0.16,0.7,1.25,0.78,0.86,1.09,1.72,track back,crosser
Luiz Marcelo Morais dos Reis,Winger,2319,0.47,0.39,1.28,2.37,1.55,0.78,0.5,1.4,,crosser
Malik Risaldi,Winger,1649,0.16,0.44,0.6,1.31,1.69,0.71,0.44,2.24,,crosser
Miftahul Hamdi,Winger,776,0.12,0.23,0.35,1.51,1.04,0.7,0.93,1.86,,crosser
Mochammad Supriadi,Winger,960,0.09,0.38,0.47,1.12,0.66,0.66,0.66,1.41,,crosser
Muhamad Kasim Botan,Winger,957,0.19,0.19,1.41,1.41,1.22,0.66,0.85,1.88,,crosser
Muhammad Aji Kurniawan,Winger,161,0.0,0.0,0.56,0.56,1.68,0.56,2.8,2.24,,crosser
Muhammad Ali Koroy,Winger,196,0.0,0.0,0.46,2.3,1.38,0.46,0.46,1.38,,crosser
Muhammad Dzaky Asraf Huwaidi,Winger,1138,0.0,0.32,0.4,0.55,0.55,0.55,1.5,0.87,track back,
Muhammad Fajar Fathurrahman,Winger,1730,0.1,0.42,0.83,0.78,0.47,0.68,2.5,3.23,track back,crosser
Muhammad Rahmat,Winger,1026,0.61,0.44,0.61,2.19,0.88,0.44,1.23,2.81,track back,crosser
Muhammad Rizky Eka Pratama,Winger,1342,0.0,0.54,0.67,1.07,0.34,0.54,1.61,2.48,track back,crosser
Muhammad Sihran H Amarullah,Winger,1238,0.29,0.29,0.51,2.11,1.02,0.73,0.73,2.18,,crosser
Natanael Siringo Ringo,Winger,884,0.2,0.61,0.81,2.75,0.92,1.32,0.81,1.12,aggresive,crosser
Oktafianus Fernando,Winger,839,0.0,0.64,0.64,1.39,0.75,0.75,1.39,1.61,track back,crosser
Osvaldo Ardiles Haay,Winger,242,0.37,0.37,1.12,1.86,0.37,0.74,0.37,1.49,,crosser
Rachmad Hidayat,Winger,412,0.0,0.22,0.44,1.09,1.97,0.87,0.66,0.22,,
Ricky Ricardo Cristian G. T. Cawor,Winger,663,0.41,0.27,0.0,1.36,0.41,1.22,0.54,0.54,aggresive,
Riko Simanjuntak,Winger,2333,0.19,0.58,1.62,1.2,1.0,0.93,0.31,1.85,,crosser
Riyan Ardiansyah,Winger,1256,0.36,0.29,0.93,1.43,0.79,0.72,1.29,2.72,track back,crosser
Riyatno Abiyoso,Winger,1233,0.29,0.36,0.8,2.26,1.24,0.8,0.66,1.17,,crosser
Rizky Rizaldi Pora,Winger,1672,0.05,0.11,1.72,1.67,0.32,0.32,0.59,3.44,,crosser
Ryan Kurnia,Winger,1576,0.23,0.23,0.8,1.71,1.14,0.23,1.66,1.37,track back,crosser
